38 Province,,,,,,,,,,,,,,,,,,,,,
,Productivity (Quintal/Hectare),,,,,,,,,,,,,,,,,,,,
KALIMANTAN TENGAH,25.41,26.98,26.27,28.43,28.53,28.78,11.25,11.31,11.53,11.05,11.14,11.17,8.27,8.1,8.25,116.99,117.07,118.17,70.05,70.03,70.99
KALIMANTAN SELATAN,38.52,39.93,39.1,47.26,49.56,51.56,11.71,11.47,12.08,11.63,11.66,11.77,10.32,10.34,10.35,146.6,148.56,146.85,107.17,114.51,110.8
KALIMANTAN TIMUR,37.25,38.01,39.25,23.8,24.35,25.56,12.03,12.01,13.13,11.09,11.1,11.8,10.61,10.7,10.24,154.3,163.67,167.93,94.32,92.9,96.09
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,47.31,47.85,48.76,35.36,35.69,36.59,13.81,13.57,13.29,13.14,13.17,13.12,13.29,12.62,12.73,130.96,130.7,130.89,98.34,97.83,97.84
SULAWESI TENGAH,46.51,45.14,45.88,35.83,35.52,37.97,12.39,13.05,12.76,16.74,16.47,16.61,8.14,8.11,8.22,167.9,186.1,191.45,105.84,105.94,106.95
SULAWESI SELATAN,48.83,50.16,49.44,41.94,46.58,44.27,15.29,16,15.11,11.82,12.54,13.72,12.43,12.97,12.59,169.22,161.39,240.48,106.73,127.32,113.71
SULAWESI TENGGARA,39.53,41.51,42.19,24.98,26.33,25.28,9.3,8.36,12.04,8.92,8.48,7.14,8.38,8.35,8.04,178.61,183.7,170.94,86.12,80.36,83.57
GORONTALO,50.67,53.48,55.2,48.17,45.6,47.22,13.42,11.69,11.8,9.85,10.05,12.07,12.2,12.53,12.43,119.52,118.42,120.53,95.8,96.54,96.57
SULAWESI BARAT,47.36,47.82,47.8,44.18,49.87,43.6,13.71,15.19,15.34,14.09,14.08,14.05,13.18,13.61,13.66,140.46,167.54,169.54,110.23,110.18,112.3
MALUKU,39.61,42.29,41.08,23.52,23.5,24.27,12.08,12.08,11.97,11.96,11.97,12.02,10.55,10.54,10.58,127.68,141.17,156.5,85.54,85.52,85.47
MALUKU UTARA,34.79,33.73,34.47,16.82,16.6,19,12.21,12,11.99,11.5,11.5,11.5,11.01,11,10.99,120.89,120.88,121,87.23,87,87
PAPUA BARAT,34.48,35.27,36.19,15.99,16.42,16.62,10.71,10.5,10.51,10.21,10.3,10.52,9.95,9.7,10.29,112.44,110.66,106.01,100.66,101.52,101.61
PAPUA,35.03,37.41,38.45,17.4,17.16,17.51,10.89,11.03,11.03,10.2,10.23,10.43,10.17,10.66,10.57,115.77,119.83,118.91,99.06,98.01,100.7
INDONESIA,48.94,49.99,50.15,40.78,42.37,44.36,13.13,13.48,13.73,12.15,12.49,12.56,10.72,10.91,11.3,180.57,187.46,202.17,107.8,111.92,113.27
